"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02199V02655","Sex","C04283V05060","Education Attainment Level","C02076V02508","Age Group","UNIT","VALUE"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","10","Less than primary (Level 0)","4251","25 - 54 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","10","Less than primary (Level 0)","440","30 - 34 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","10","Less than primary (Level 0)","460","35 - 39 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","10","Less than primary (Level 0)","475","40 - 44 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","10","Less than primary (Level 0)","495","45 - 49 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","10","Less than primary (Level 0)","515","50 - 54 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","10","Less than primary (Level 0)","530","55 - 59 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","10","Less than primary (Level 0)","550","60 - 64 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","20","Primary and lower secondary education (Levels 1-2)","-","All ages","%","53.7"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","20","Primary and lower secondary education (Levels 1-2)","365","20 - 24 years","%","33"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","20","Primary and lower secondary education (Levels 1-2)","410","25 - 29 years","%","45.5"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","20","Primary and lower secondary education (Levels 1-2)","4251","25 - 54 years","%","57.5"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","20","Primary and lower secondary education (Levels 1-2)","440","30 - 34 years","%","57.3"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","20","Primary and lower secondary education (Levels 1-2)","460","35 - 39 years","%","57.9"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","20","Primary and lower secondary education (Levels 1-2)","475","40 - 44 years","%","57.9"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","20","Primary and lower secondary education (Levels 1-2)","495","45 - 49 years","%","61.3"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","20","Primary and lower secondary education (Levels 1-2)","515","50 - 54 years","%","57.1"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","20","Primary and lower secondary education (Levels 1-2)","530","55 - 59 years","%","55.8"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","20","Primary and lower secondary education (Levels 1-2)","550","60 - 64 years","%","44.8"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","-","All ages","%","72.1"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","365","20 - 24 years","%","60.1"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","410","25 - 29 years","%","76.3"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","4251","25 - 54 years","%","77.5"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","440","30 - 34 years","%","77.8"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","460","35 - 39 years","%","78.5"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","475","40 - 44 years","%","77.4"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","495","45 - 49 years","%","77.9"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","515","50 - 54 years","%","76.9"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","530","55 - 59 years","%","70.3"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","550","60 - 64 years","%","55.5"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","40","Tertiary education (Levels 5-8)","-","All ages","%","85"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","40","Tertiary education (Levels 5-8)","365","20 - 24 years","%","82.1"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","40","Tertiary education (Levels 5-8)","410","25 - 29 years","%","86.7"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","40","Tertiary education (Levels 5-8)","4251","25 - 54 years","%","87.8"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","40","Tertiary education (Levels 5-8)","440","30 - 34 years","%","88.1"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","40","Tertiary education (Levels 5-8)","460","35 - 39 years","%","88"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","40","Tertiary education (Levels 5-8)","475","40 - 44 years","%","89.6"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","40","Tertiary education (Levels 5-8)","495","45 - 49 years","%","87"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","40","Tertiary education (Levels 5-8)","515","50 - 54 years","%","86.6"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","40","Tertiary education (Levels 5-8)","530","55 - 59 years","%","77.8"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","40","Tertiary education (Levels 5-8)","550","60 - 64 years","%","59.6"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","99","Level of education - not stated","-","All ages","%","70.6"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","99","Level of education - not stated","365","20 - 24 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","99","Level of education - not stated","410","25 - 29 years","%","76"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","99","Level of education - not stated","4251","25 - 54 years","%","76"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","99","Level of education - not stated","440","30 - 34 years","%","76"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","99","Level of education - not stated","460","35 - 39 years","%","74.8"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","99","Level of education - not stated","475","40 - 44 years","%","81.6"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","99","Level of education - not stated","495","45 - 49 years","%","82.7"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","99","Level of education - not stated","515","50 - 54 years","%","62"
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","99","Level of education - not stated","530","55 - 59 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","-","Both sexes","99","Level of education - not stated","550","60 - 64 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","1","Male","-","Levels of Education (Levels  0-8)","-","All ages","%","80.9"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","-","Levels of Education (Levels  0-8)","365","20 - 24 years","%","64.7"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","-","Levels of Education (Levels  0-8)","410","25 - 29 years","%","82.8"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","-","Levels of Education (Levels  0-8)","4251","25 - 54 years","%","86.3"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","-","Levels of Education (Levels  0-8)","440","30 - 34 years","%","88.8"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","-","Levels of Education (Levels  0-8)","460","35 - 39 years","%","89.5"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","-","Levels of Education (Levels  0-8)","475","40 - 44 years","%","87.4"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","-","Levels of Education (Levels  0-8)","495","45 - 49 years","%","85.4"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","-","Levels of Education (Levels  0-8)","515","50 - 54 years","%","82.7"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","-","Levels of Education (Levels  0-8)","530","55 - 59 years","%","77.3"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","-","Levels of Education (Levels  0-8)","550","60 - 64 years","%","60.6"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","10","Less than primary (Level 0)","-","All ages","%",""
"QLF50C01","Employment rate","20191","2019Q1","1","Male","10","Less than primary (Level 0)","365","20 - 24 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","1","Male","10","Less than primary (Level 0)","410","25 - 29 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","1","Male","10","Less than primary (Level 0)","4251","25 - 54 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","1","Male","10","Less than primary (Level 0)","440","30 - 34 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","1","Male","10","Less than primary (Level 0)","460","35 - 39 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","1","Male","10","Less than primary (Level 0)","475","40 - 44 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","1","Male","10","Less than primary (Level 0)","495","45 - 49 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","1","Male","10","Less than primary (Level 0)","515","50 - 54 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","1","Male","10","Less than primary (Level 0)","530","55 - 59 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","1","Male","10","Less than primary (Level 0)","550","60 - 64 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","1","Male","20","Primary and lower secondary education (Levels 1-2)","-","All ages","%","63.7"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","20","Primary and lower secondary education (Levels 1-2)","365","20 - 24 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","1","Male","20","Primary and lower secondary education (Levels 1-2)","410","25 - 29 years","%","56"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","20","Primary and lower secondary education (Levels 1-2)","4251","25 - 54 years","%","67"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","20","Primary and lower secondary education (Levels 1-2)","440","30 - 34 years","%","70"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","20","Primary and lower secondary education (Levels 1-2)","460","35 - 39 years","%","70"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","20","Primary and lower secondary education (Levels 1-2)","475","40 - 44 years","%","67.3"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","20","Primary and lower secondary education (Levels 1-2)","495","45 - 49 years","%","67.6"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","20","Primary and lower secondary education (Levels 1-2)","515","50 - 54 years","%","66.7"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","20","Primary and lower secondary education (Levels 1-2)","530","55 - 59 years","%","67.1"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","20","Primary and lower secondary education (Levels 1-2)","550","60 - 64 years","%","55.1"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","-","All ages","%","80.1"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","365","20 - 24 years","%","62.1"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","410","25 - 29 years","%","80.5"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","4251","25 - 54 years","%","86.9"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","440","30 - 34 years","%","89"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","460","35 - 39 years","%","90.7"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","475","40 - 44 years","%","86"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","495","45 - 49 years","%","87.9"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","515","50 - 54 years","%","85.7"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","530","55 - 59 years","%","79.4"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","550","60 - 64 years","%","63.8"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","40","Tertiary education (Levels 5-8)","-","All ages","%","89.7"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","40","Tertiary education (Levels 5-8)","365","20 - 24 years","%","81.8"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","40","Tertiary education (Levels 5-8)","410","25 - 29 years","%","88.7"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","40","Tertiary education (Levels 5-8)","4251","25 - 54 years","%","92.7"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","40","Tertiary education (Levels 5-8)","440","30 - 34 years","%","93.7"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","40","Tertiary education (Levels 5-8)","460","35 - 39 years","%","93.9"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","40","Tertiary education (Levels 5-8)","475","40 - 44 years","%","94.3"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","40","Tertiary education (Levels 5-8)","495","45 - 49 years","%","92.4"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","40","Tertiary education (Levels 5-8)","515","50 - 54 years","%","92.8"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","40","Tertiary education (Levels 5-8)","530","55 - 59 years","%","85.4"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","40","Tertiary education (Levels 5-8)","550","60 - 64 years","%","64.6"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","99","Level of education - not stated","-","All ages","%","74.3"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","99","Level of education - not stated","365","20 - 24 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","1","Male","99","Level of education - not stated","410","25 - 29 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","1","Male","99","Level of education - not stated","4251","25 - 54 years","%","79.3"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","99","Level of education - not stated","440","30 - 34 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","1","Male","99","Level of education - not stated","460","35 - 39 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","1","Male","99","Level of education - not stated","475","40 - 44 years","%","89"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","99","Level of education - not stated","495","45 - 49 years","%","85.5"
"QLF50C01","Employment rate","20191","2019Q1","1","Male","99","Level of education - not stated","515","50 - 54 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","1","Male","99","Level of education - not stated","530","55 - 59 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","1","Male","99","Level of education - not stated","550","60 - 64 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","2","Female","-","Levels of Education (Levels  0-8)","-","All ages","%","69.1"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","-","Levels of Education (Levels  0-8)","365","20 - 24 years","%","63.1"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","-","Levels of Education (Levels  0-8)","410","25 - 29 years","%","77.3"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","-","Levels of Education (Levels  0-8)","4251","25 - 54 years","%","74.1"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","-","Levels of Education (Levels  0-8)","440","30 - 34 years","%","74.6"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","-","Levels of Education (Levels  0-8)","460","35 - 39 years","%","74.1"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","-","Levels of Education (Levels  0-8)","475","40 - 44 years","%","75.8"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","-","Levels of Education (Levels  0-8)","495","45 - 49 years","%","73.2"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","-","Levels of Education (Levels  0-8)","515","50 - 54 years","%","69.2"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","-","Levels of Education (Levels  0-8)","530","55 - 59 years","%","60.4"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","-","Levels of Education (Levels  0-8)","550","60 - 64 years","%","45.5"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","10","Less than primary (Level 0)","-","All ages","%",""
"QLF50C01","Employment rate","20191","2019Q1","2","Female","10","Less than primary (Level 0)","365","20 - 24 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","2","Female","10","Less than primary (Level 0)","410","25 - 29 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","2","Female","10","Less than primary (Level 0)","4251","25 - 54 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","2","Female","10","Less than primary (Level 0)","440","30 - 34 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","2","Female","10","Less than primary (Level 0)","460","35 - 39 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","2","Female","10","Less than primary (Level 0)","475","40 - 44 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","2","Female","10","Less than primary (Level 0)","495","45 - 49 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","2","Female","10","Less than primary (Level 0)","515","50 - 54 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","2","Female","10","Less than primary (Level 0)","530","55 - 59 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","2","Female","10","Less than primary (Level 0)","550","60 - 64 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","2","Female","20","Primary and lower secondary education (Levels 1-2)","-","All ages","%","40.1"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","20","Primary and lower secondary education (Levels 1-2)","365","20 - 24 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","2","Female","20","Primary and lower secondary education (Levels 1-2)","410","25 - 29 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","2","Female","20","Primary and lower secondary education (Levels 1-2)","4251","25 - 54 years","%","44"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","20","Primary and lower secondary education (Levels 1-2)","440","30 - 34 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","2","Female","20","Primary and lower secondary education (Levels 1-2)","460","35 - 39 years","%","43.1"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","20","Primary and lower secondary education (Levels 1-2)","475","40 - 44 years","%","46.4"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","20","Primary and lower secondary education (Levels 1-2)","495","45 - 49 years","%","51.1"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","20","Primary and lower secondary education (Levels 1-2)","515","50 - 54 years","%","43.1"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","20","Primary and lower secondary education (Levels 1-2)","530","55 - 59 years","%","40.9"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","20","Primary and lower secondary education (Levels 1-2)","550","60 - 64 years","%","32.2"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","-","All ages","%","63.8"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","365","20 - 24 years","%","58"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","410","25 - 29 years","%","71.8"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","4251","25 - 54 years","%","67.4"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","440","30 - 34 years","%","65.1"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","460","35 - 39 years","%","64.2"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","475","40 - 44 years","%","67.1"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","495","45 - 49 years","%","67.8"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","515","50 - 54 years","%","69.2"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","530","55 - 59 years","%","62.8"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","30","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","550","60 - 64 years","%","47.2"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","40","Tertiary education (Levels 5-8)","-","All ages","%","81.1"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","40","Tertiary education (Levels 5-8)","365","20 - 24 years","%","82.4"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","40","Tertiary education (Levels 5-8)","410","25 - 29 years","%","85"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","40","Tertiary education (Levels 5-8)","4251","25 - 54 years","%","83.9"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","40","Tertiary education (Levels 5-8)","440","30 - 34 years","%","83.8"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","40","Tertiary education (Levels 5-8)","460","35 - 39 years","%","83.6"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","40","Tertiary education (Levels 5-8)","475","40 - 44 years","%","85.9"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","40","Tertiary education (Levels 5-8)","495","45 - 49 years","%","82.7"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","40","Tertiary education (Levels 5-8)","515","50 - 54 years","%","81"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","40","Tertiary education (Levels 5-8)","530","55 - 59 years","%","70.9"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","40","Tertiary education (Levels 5-8)","550","60 - 64 years","%","55.7"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","99","Level of education - not stated","-","All ages","%","66.7"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","99","Level of education - not stated","365","20 - 24 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","2","Female","99","Level of education - not stated","410","25 - 29 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","2","Female","99","Level of education - not stated","4251","25 - 54 years","%","72.4"
"QLF50C01","Employment rate","20191","2019Q1","2","Female","99","Level of education - not stated","440","30 - 34 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","2","Female","99","Level of education - not stated","460","35 - 39 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","2","Female","99","Level of education - not stated","475","40 - 44 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","2","Female","99","Level of education - not stated","495","45 - 49 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","2","Female","99","Level of education - not stated","515","50 - 54 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","2","Female","99","Level of education - not stated","530","55 - 59 years","%",""
"QLF50C01","Employment rate","20191","2019Q1","2","Female","99","Level of education - not stated","550","60 - 64 years","%",""
"QLF50C01","Employment rate","20192","2019Q2","-","Both sexes","-","Levels of Education (Levels  0-8)","-","All ages","%","74.5"
"QLF50C01","Employment rate","20192","2019Q2","-","Both sexes","-","Levels of Education (Levels  0-8)","365","20 - 24 years","%","63.9"
"QLF50C01","Employment rate","20192","2019Q2","-","Both sexes","-","Levels of Education (Levels  0-8)","410","25 - 29 years","%","79.3"
"QLF50C01","Employment rate","20192","2019Q2","-","Both sexes","-","Levels of Education (Levels  0-8)","4251","25 - 54 years","%","79.6"
"QLF50C01","Employment rate","20192","2019Q2","-","Both sexes","-","Levels of Education (Levels  0-8)","440","30 - 34 years","%","81"
"QLF50C01","Employment rate","20192","2019Q2","-","Both sexes","-","Levels of Education (Levels  0-8)","460","35 - 39 years","%","81.1"
"QLF50C01","Employment rate","20192","2019Q2","-","Both sexes","-","Levels of Education (Levels  0-8)","475","40 - 44 years","%","80.2"
"QLF50C01","Employment rate","20192","2019Q2","-","Both sexes","-","Levels of Education (Levels  0-8)","495","45 - 49 years","%","79.3"
"QLF50C01","Employment rate","20192","2019Q2","-","Both sexes","-","Levels of Education (Levels  0-8)","515","50 - 54 years","%","75.9"
"QLF50C01","Employment rate","20192","2019Q2","-","Both sexes","-","Levels of Education (Levels  0-8)","530","55 - 59 years","%","68.7"
"QLF50C01","Employment rate","20192","2019Q2","-","Both sexes","-","Levels of Education (Levels  0-8)","550","60 - 64 years","%","52.8"
"QLF50C01","Employment rate","20192","2019Q2","-","Both sexes","10","Less than primary (Level 0)","-","All ages","%",""
"QLF50C01","Employment rate","20192","2019Q2","-","Both sexes","10","Less than primary (Level 0)","365","20 - 24 years","%",""
"QLF50C01","Employment rate","20192","2019Q2","-","Both sexes","10","Less than primary (Level 0)","410","25 - 29 years","%",""
"QLF50C01","Employment rate","20192","2019Q2","-","Both sexes","10","Less than primary (Level 0)","4251","25 - 54 years","%",""
"QLF50C01","Employment rate","20192","2019Q2","-","Both sexes","10","Less than primary (Level 0)","440","30 - 34 years","%",""
"QLF50C01","Employment rate","20192","2019Q2","-","Both sexes","10","Less than primary (Level 0)","460","35 - 39 years","%",""
"QLF50C01","Employment rate","20192","2019Q2","-","Both sexes","10","Less than primary (Level 0)","475","40 - 44 years","%",""
